Source,Teff,Lum
630505494719360,4109.235,0.10489021
5850333867750784,7065.3335,7.1237273
6346041813693824,4765.7773,0.19142921
6963761190199424,6106.0,1.4071337
6989290475763456,5328.0,0.5939522
8367803179074816,4844.48,0.26659167
8479094371605632,5004.25,0.38361922
8810116091022208,6445.5,6.09828
9877806305711744,4687.0,0.20561364
10584899657116672,6102.0,2.0634735
10608573516849536,5951.0,1.4994131
11037726649058432,4575.13,0.19435883
11210418694164864,5516.85,0.73463506
12828899809609856,4407.6665,0.10243731
13434421479476352,3419.3333,0.031053944
13555539556582272,4065.13,0.06438996
14163878724940672,5050.0,0.40664756
17285873272440192,4854.705,0.27837092
18211043587721088,4166.6665,0.2615725
18262823713408000,6665.5,4.0053287
18297114731960704,4915.53,0.23497927
19316224572460416,4762.0674,0.2943382
19625187339798144,3788.6902,0.049406048
21297716324419968,5956.3335,1.1069798
21859669845327488,6906.0,11.633177
22125575564953216,4328.3374,0.13816406
22269508511466624,3890.01,0.05492095
22338644598132096,4052.95,0.21556678
22561123904108672,4818.1826,0.1679019
22707874346819712,4096.5674,0.11315706
24262652508028928,6274.5,2.891863
24340923991956352,5999.75,1.2476889
24656689987510912,5198.1333,0.389504
25488745411919360,4257.4224,0.15935102
25792554218535296,7510.25,10.25403
26101272172092160,4119.763,0.09784057
26147868272907648,5870.0,1.7154846
26484834227184896,6235.5,5.728759
27775450424210816,4623.657,0.19691318
27998037104755968,4626.9863,0.22458461
31251045334952960,5793.5,1.0010626
31776474454016128,4079.33,0.16076356
32138419938064000,5270.3335,0.39538932
33439176553394048,4560.843,0.20708625
33743122798898816,4691.0337,0.19382903
34959010860594176,5608.0,0.7102601
35773474098974592,6359.5,6.5698724
36110577493459968,5591.75,0.7330463
36502278510879616,4312.67,0.13349943
36540074223000576,4070.74,0.062160306
36590651757883392,4408.0,0.16543323
38354680725946240,4730.47,0.23171206
39925023848663040,4711.053,0.21325423
41934381346979968,4117.1475,0.11492576
42768532716776704,6369.5,2.9475145
42793752764180736,3817.0,0.06940296
42995684946443648,4020.57,0.08139936
43335880716390784,4064.6667,0.07287682
43499295632961152,5570.0,0.7022597
43538293935879680,5087.0,0.43505016
43615122310787840,6985.0,6.167807
43789772861265792,4993.88,0.39145353
43802039287826432,5805.0,1.8861698
43803894713689216,4501.8804,0.18762767
44171372114396032,5695.6504,0.54931307
44197073198840064,5950.0,1.3714134
45142202225729024,5448.0,0.49969456
45142206521351552,6826.0,5.775521
45159901786525568,4452.78,0.19084412
45367056650753280,5964.6665,1.396017
45567511362945152,4816.5825,0.26968184
45788547559850496,5317.0,0.9793159
45968901826385024,4089.565,0.0890299
46975436002187136,6685.0,4.122908
47019347749289216,4966.0,0.42457175
47319858019739264,4560.25,0.27688992
47322641158530560,4047.0,0.08195393
47345009348203392,5571.5,0.8203813
47541100375011968,6551.6,3.6286097
47620265212420096,5688.0,1.8416271
47752481485851136,6784.0,6.0708213
47804394753757056,3952.7,0.0885305
47813500084423296,4439.04,0.16283351
47965443143743488,6745.0,7.074723
48026706557926528,4670.75,118.67539
48061409893621248,5489.2,0.76028836
48197783694869760,4973.7666,0.39371336
48203487411427456,6064.0,1.8730716
48548527903788288,5109.58,0.38532373
49005581144118784,5566.0,0.7204366
49102063289298944,4267.6,0.13929196
49231668222673920,6530.033,3.729285
49295199378608000,4500.3,0.17256631
49298394834276608,7450.3867,7.319356
49365087086285184,5643.75,1.529525
49729231594420096,7135.6797,7.4765754
50298125783225088,4060.13,0.124220386
50327297200978176,4746.8667,0.24910794
53112944270520832,5843.0,1.068526
53942250914697472,5051.1,0.38734347
54749017571996032,4904.0,0.27418774
55839698744164352,5188.0,0.49030122
56092345901034880,5827.0,1.8982147
56413781254974080,5042.6665,6.2617908
56861694804053120,5179.25,0.6574754
57890528450770560,4019.2424,0.1616998
57890562810508160,5534.3335,0.60096306
58794735027901824,5822.0,0.7824033
58914826609245440,5193.45,0.57171416
60186343087140096,4698.7534,0.20635232
60248877811328768,4846.0,51.9089
60460465080107392,5647.875,0.5744702
61386868050158848,4875.7,0.23746413
61689890880210176,4091.42,0.07164972
62670998849127552,5017.0,0.2765154
62948174562104448,3957.0266,0.057428405
64085383120724864,5644.5,0.74604887
64115585330656000,6231.0,1.8769853
64266768177592448,5016.1,0.39472154
65319619282119808,6896.25,8.896837
65360679169452032,5701.533,1.4195682
65371399407749760,5002.0547,0.36198634
66482352830035840,4492.68,0.19472796
66892264508548864,6039.5,2.5869577
66945178505314944,5139.6533,0.4009913
67270462147226880,4045.1375,0.07086281
67351757289092224,4165.1,0.13106427
68001499939741440,5185.5527,0.49395192
69443337640657536,5533.0,1.5926257
70051608089857536,4055.55,0.07046628
70813844527285632,4166.0,0.084662504
73781873084091264,5437.25,0.7985059
75349600571311744,5905.3335,2.7565713
76173444017933184,3591.6667,0.050100937
76595798217424384,4075.0073,0.1151844
76859028173079424,4506.3667,0.19174229
77161217776670208,5709.0,0.85532147
77161222072044288,5446.0,0.5872296
77966889217209472,4232.53,0.16737944
79970302482305664,4129.8,0.10667426
80369459562947840,6364.5,2.953509
81166811651514880,4685.7676,0.34024954
82716092254529280,3977.97,0.07017164
82945061255798144,3950.6736,0.066089295
84625630419434496,5551.1333,0.58878255
84625634714435968,5890.6665,1.1032686
84675937371332608,4613.8667,0.23282199
85973326732317056,4983.0,0.38310757
87044422856456192,6108.0,1.6564647
87245633484189184,4092.5,0.0696502
89278733563399936,5731.25,1.0058092
89308798334436096,3870.07,0.11593877
91575677777615232,4603.8003,0.17313688
91887977735200000,4179.4526,0.12524228
92048540792594816,4267.79,0.12430799
92102618725254912,4008.7349,0.10241386
93144410288241920,4950.1,0.31178194
94181765149203072,4714.7,0.26764375
