"HIP","HD","RAhms","DEdms","RA(ICRS)","DE(ICRS)","pmRA","pmDE","Glon","Glat","d(pc)","ePARX/PARX","V","e_V","V_src","B-V","e_B-V","B-V_src","Mv","e_Mv","CombMag","V-K","e_V-K","K_src","Lbol_src","Lbol","e_Lbol","SpType","CLASS","SPECTAG","EEID(AU)","EEID(mas)","FPB-Earth","V-Earth(mag)","Teff","Teff_src","R*(Rsun)","R_src","M*(Msun)","M_src"
13388,17970,"02 52 19.39","-33 27 02.4",43.08077811,-33.45065753,431.92,8.95,234.0057,-63.2518,24.49,0.02,8.09,0,"G",0.83,0.01,"G",6.14,0.04,"___",2.11,0.02,"2MASS","V-K",0.37,0.05,"K1V","MAINSEQ","K",0.61,24.77,3.14E-10,31.85,5036,"Gray",0.8,"Turnbull",0.77,"Turnbull"
63742,113449,"13 03 49.77","-05 09 40.6",195.95736099,-5.16127868,-189.79,-219.55,308.6924,57.5718,21.69,0.02,7.69,0,"G",0.85,0,"G",6.01,0.04,"___",2.18,0.02,"2MASS","V-K",0.43,0.05,"K1V","MAINSEQ","K",0.65,30.14,2.7E-10,31.61,5037,"V-K",0.86,"Turnbull",0.8,"Turnbull"
65355,116443,"13 23 40.84","+02 43 29.2",200.92017388,2.72478537,4.58,202.86,321.8505,64.4057,16.14,0.02,7.29,0.02,"VT",0.88,0.02,"BVT-Red",6.25,0.07,"___",2.06,0.03,"2MASS","V-K",0.33,0.07,"G8/K0V","MAINSEQ","G",0.57,35.5,3.52E-10,30.93,5038,"VF05",0.75,"Takeda",0.76,"Takeda"
25647,36705,"05 28 44.78","-65 26 56.2",82.18659539,-65.44893735,32.14,150.97,275.3011,-33.0457,15.17,0.01,7,0.01,"Koen",0.86,0.01,"Koen",6.09,0.03,"___",2.25,0.02,"2MASS","V-K",0.43,0.04,"K1III(P)","MAINSEQ","K",0.66,43.2,2.69E-10,30.92,5041,"Gray",0.86,"Turnbull",0.81,"Turnbull"
22122,30501,"04 45 38.99","-50 04 24.3",71.41243863,-50.0734104,-445.81,-337.31,256.9898,-40.3669,20.86,0.01,7.59,0.01,"Koen",0.89,0.01,"Koen",5.99,0.03,"___",2.06,0.02,"2MASS","V-K",0.42,0.04,"K1V","MAINSEQ","K",0.65,31.07,2.75E-10,31.49,5042,"Gray",0.85,"Turnbull",0.8,"Turnbull"
6339,"___","01 21 27.88","+31 20 29.9",20.36614642,31.34165105,529.74,-93.53,130.4188,-31.0932,28.42,0.03,8.46,0.03,"VT",0.92,0.01,"G",6.19,0.1,"___",2.18,0.03,"2MASS","V-K",0.36,0.11,"K2V","MAINSEQ","K",0.6,21.12,3.21E-10,32.19,5043,"V-K",0.79,"Turnbull",0.77,"Turnbull"
15799,21175,"03 23 35.23","-40 04 35.4",50.8967927,-40.07649183,40.65,42.21,245.2418,-56.0919,17.42,0.01,6.9,0.01,"Koen",0.86,0.01,"Koen",5.7,0.04,"___",2.13,0.02,"2MASS","V-K",0.56,0.04,"K0V","MAINSEQ","K",0.75,43,2.06E-10,31.12,5045,"Gray",0.98,"Turnbull",0.86,"Turnbull"
52521,93083,"10 44 20.98","-33 34 36.0",161.0874164,-33.57665467,-92.84,-151.12,274.6452,22.2219,27.86,0.02,8.3,0,"G",0.95,0,"G",6.08,0.06,"___",2.17,0.02,"2MASS","V-K",0.4,0.06,"K3V","MAINSEQ","K",0.63,22.7,2.89E-10,32.15,5050,"V-K",0.83,"Turnbull",0.79,"Turnbull"
84720,"___","17 19 02.95","-46 38 11.4",259.76230946,-46.6365001,1035.25,109.22,342.2972,-5.2661,8.8,0.01,5.52,0.02,"VT-G",0.79,0.02,"BVT-G-Red",5.8,0.03,"*",2.17,0.05,"CARTER, B. S. <M. N. R. A. S., 242, 1> SOUTHERN JHKL STANDARDS","V-K",0.52,0.06,"M0V         ","___","___",0.72,81.68,2.23E-10,29.65,5052,"V-K",0.94,"Turnbull",0.84,"Turnbull"
96656,"___","19 39 05.98","+76 25 18.0",294.7749177,76.42167965,158.23,141.39,108.4158,23.5843,29.7,0.02,8.06,0.02,"VT",0.88,0.01,"G",5.7,0.06,"*",2.17,0.03,"2MASS","V-K",0.56,0.06,"K0          ","___","___",0.75,25.3,2.05E-10,32.29,5052,"V-K",0.98,"Turnbull",0.86,"Turnbull"
106696,205390,"21 36 40.85","-50 50 41.6",324.1702174,-50.84490039,424.07,-199.27,346.4164,-46.4323,14.62,0.01,7.14,0.01,"G",0.88,0.01,"G",6.32,0.02,"___",2.17,0.02,"2MASS","V-K",0.32,0.03,"K2V","MAINSEQ","K",0.57,38.75,3.6E-10,30.75,5053,"VF05",0.75,"Takeda",0.79,"Takeda"
117159,222935,"23 45 09.30","+29 33 42.8",356.28874773,29.56188121,948.85,-3.41,106.0852,-31.1323,28.59,0.03,8.4,0,"G",0.86,0.01,"G",6.12,0.07,"___",2.16,0.02,"2MASS","V-K",0.38,0.07,"K2V","MAINSEQ","K",0.62,21.67,3.01E-10,32.2,5054,"V-K",0.81,"Turnbull",0.78,"Turnbull"
